set_tt;set_tt_o;el3A80;el3A180;el1A80;el1A180;thA80;thA180;SpotPriceEUR
tt79;tt79;0,352;0,411;0,158;0,249;1,11502254;2,50829771;30,65
tt80;tt80;0,161;0,919;0,118;0,328;1,10248093;2,48007877;30,44
tt81;tt81;0,078;0,507;0,594;1,71;1,10523398;2,48627872;30,44
tt82;tt82;0,378;0,439;0,732;0,888;1,08228074;2,4346471;30,57
tt83;tt83;0,225;0,282;0,185;0,082;1,05419005;2,37145455;30,62
tt84;tt84;0,235;0,423;0,057;0,084;1,03976653;2,33901085;30,75
tt85;tt85;0,349;2,542;0,479;0,742;1,04363655;2,3477207;30,68
tt86;tt86;0,065;0,326;0,912;0,997;1,06999277;2,40701988;30,73
tt87;tt87;0,459;0,427;0,185;0,682;1,10091941;2,4765999;30,84
tt88;tt88;0,449;0,448;0,745;0,576;1,11548426;2,50936784;31,22
tt89;tt89;2,073;1,236;1,328;2,133;1,11842661;2,51598911;31,47
tt90;tt90;0,268;1,491;1,17;0,699;1,13314745;2,54911332;31,29
tt91;tt91;0,857;0,719;0,338;3,261;1,14773642;2,58194013;31,15
tt92;tt92;0,572;1,413;4,448;1,218;1,13630765;2,55622804;31,03
tt93;tt93;1,32;0,766;0,265;0,314;1,12800732;2,53755558;30,96
tt94;tt94;0,235;2,169;0,064;0,337;1,14201745;2,56907935;30,87
tt95;tt95;0,299;0,23;0,623;0,553;1,14252111;2,57021161;30,44
tt96;tt96;0,139;0,274;0,47;0,309;1,14114663;2,56711903;30,51
tt97;tt97;0,095;0,176;0,067;0,369;1,16063388;2,60295787;30,23
tt98;tt98;0,174;0,249;0,044;1,32;1,15797875;2,59701777;30
tt99;tt99;0,19;0,095;0,098;0,478;1,15242873;2,58457319;30,06
tt100;tt100;0,127;0,159;0,093;0,336;1,16164552;2,60524345;30,61
tt101;tt101;0,426;0,43;0,16;0,221;1,17420456;2,63324966;28,96
tt102;tt102;0,208;0,343;0,519;1,146;1,18065877;2,64777165;33,82
tt103;tt103;0,583;0,974;1,66;1,147;1,17444069;2,63392211;37,21
tt104;tt104;0,317;0,908;0,387;0,344;1,15819952;2,59714015;38,98
tt105;tt105;1,191;1,247;0,452;0,627;1,16844737;2,62023463;39,01
tt106;tt106;0,348;6,421;0,199;0,48;1,16815666;2,61960508;43,04
tt107;tt107;0,559;0,199;0,503;0,218;1,1606025;2,6025898;44,54
tt108;tt108;0,099;0,309;0,274;1,549;1,1509965;2,58117882;44,56
tt109;tt109;0,105;0,289;0,328;0,318;1,13161532;2,53770004;44,66
tt110;tt110;0,411;0,406;2,077;0,708;1,14584401;2,56951821;44,99
tt111;tt111;0,32;0,308;0,134;0,523;1,15817839;2,59706191;56,1
tt112;tt112;0,989;0,345;1,573;0,422;1,16530147;2,61301519;69,7
tt113;tt113;0,251;1,905;0,407;1,78;1,17049883;2,6246356;73,92
tt114;tt114;1,397;1,265;0,688;0,731;1,18226009;2,65082842;71,99
tt115;tt115;1,171;0,55;0,752;1,098;1,18905163;2,66592526;50,08
tt116;tt116;0,327;1,135;0,287;0,59;1,20275765;2,69664721;44,89
tt117;tt117;0,528;0,838;0,405;2,299;1,2264339;2,74978989;42,05
tt118;tt118;0,464;0,559;0,16;0,438;1,24574274;2,79306908;37,22
tt119;tt119;0,457;0,114;0,599;1,539;1,25481804;2,81356217;33,53
tt120;tt120;0,132;0,304;0,105;0,781;1,25214918;2,80749586;35,84
tt121;tt121;0,129;0,157;0,068;1,047;1,26601649;2,83860799;35,54
tt122;tt122;0,118;0,353;0,861;0,343;1,27524275;2,85934869;34,59
tt123;tt123;0,411;0,137;0,573;0,444;1,27174679;2,85165425;34,28
tt124;tt124;0,088;0,497;0,034;0,089;1,28844347;2,88924629;34,16
tt125;tt125;0,22;0,233;0,031;0,349;1,29589363;2,90598465;32,59
tt126;tt126;0,621;0,76;0,063;0,073;1,30222907;2,92030674;34,32
tt127;tt127;0,564;5,449;1,487;0,357;1,29626204;2,9068993;33,97
tt128;tt128;0,085;0,394;0,038;0,098;1,29160217;2,89648808;34
tt129;tt129;0,088;0,296;0,199;0,583;1,26815045;2,84374009;32,5
tt130;tt130;0,197;0,051;0,201;0,197;1,243963;2,78943468;31,98
tt131;tt131;0,381;0,362;0,066;0,203;1,21039743;2,71407137;31,45
tt132;tt132;0,089;0,553;0,373;0,54;1,19507067;2,67965354;31,27
tt133;tt133;0,27;0,168;0,139;1,005;1,17791521;2,64105375;30,86
tt134;tt134;0,256;1,659;0,41;0,428;1,16697202;2,61653567;30,8
tt135;tt135;0,052;0,79;0,07;0,292;1,17688711;2,63890587;30,57
tt136;tt136;0,521;0,638;0,078;3,159;1,18796129;2,66376764;30,59
tt137;tt137;1,783;0,128;0,046;1,601;1,20859498;2,71014447;30,9
tt138;tt138;1,523;0,737;0,224;0,584;1,21751441;2,7301642;30,71
tt139;tt139;1,725;1,69;0,152;0,853;1,21413623;2,72260004;30,37
tt140;tt140;1,222;0,315;0,238;0,409;1,22232433;2,74092528;30,28
tt141;tt141;1,008;0,62;0,59;0,988;1,22476031;2,74631436;30,08
tt142;tt142;0,843;2,144;0,579;1,807;1,21398335;2,72185186;29,81
tt143;tt143;1,242;0,504;0,134;0,675;1,20614407;2,70395016;29,01
tt144;tt144;0,182;0,237;0,08;0,254;1,19600656;2,68107339;29,35
tt145;tt145;0,255;0,496;0,218;0,09;1,18720119;2,66136796;27,32
tt146;tt146;0,122;0,334;0,089;0,051;1,1738225;2,63136978;26,98
tt147;tt147;0,363;0,262;0,068;0,326;1,16700933;2,61605236;26,93
tt148;tt148;0,151;0,676;0,06;0,343;1,15865509;2,59742033;27,44
tt149;tt149;0,01;0,321;0,173;0,178;1,16014483;2,60080281;28,64
tt150;tt150;0,115;0,04;0,258;0,092;1,17083233;2,6247519;29,1
tt151;tt151;0,099;0,602;0,179;0,306;1,16814679;2,61866055;29,49
tt152;tt152;0,202;0,562;0,082;0,477;1,14031036;2,55645024;29,97
tt153;tt153;0,498;0,37;0,139;0,689;1,1167164;2,50355939;30,51
tt154;tt154;1,793;0,679;0,291;0,222;1,09399189;2,45260646;30,69
tt155;tt155;1,033;0,338;1,467;0,326;1,06842845;2,3953637;30,74
tt156;tt156;0,601;1,071;0,563;1,358;1,04941067;2,35268981;30,72
tt157;tt157;0,046;0,334;0,107;0,272;1,03539305;2,32124793;30,7
tt158;tt158;1,537;1,444;0,321;0,55;1,02795568;2,30471552;30,77
tt159;tt159;0,248;0,656;2,238;0,8;1,04152409;2,33523833;30,92
tt160;tt160;0,739;0,758;0,044;0,714;1,06381543;2,38533885;31,15
tt161;tt161;2,39;2,175;0,412;1,833;1,07649078;2,41373617;31,43
tt162;tt162;1,544;1,247;0,605;2,764;1,09614284;2,45795329;31,44
tt163;tt163;0,14;1,064;0,708;0,601;1,10892122;2,48664354;31,18
tt164;tt164;0,299;0,91;2,392;3,282;1,12484541;2,52243021;31,05
tt165;tt165;0,322;0,394;0,182;0,189;1,13367548;2,54229174;30,96
tt166;tt166;1,339;0,748;0,163;0,362;1,11739691;2,50576884;30,83
tt167;tt167;0,802;0,467;0,163;1,068;1,11346305;2,49703987;30,6
tt168;tt168;0,244;0,26;0,404;0,289;1,11500916;2,50056751;30,75
tt169;tt169;0,095;0,377;0,063;0,522;1,11277917;2,49689627;30,64
tt170;tt170;0,174;0,335;0,084;0,288;1,12132677;2,5160526;30,53
tt171;tt171;0,301;0,268;0,033;0,113;1,13027516;2,53623237;30,54
tt172;tt172;1,453;0,796;0,32;0,116;1,12173744;2,51713467;30,63
tt173;tt173;0,259;0,271;0,18;0,372;1,12458547;2,52357334;30,7
tt174;tt174;0,195;0,327;2,33;0,671;1,13211658;2,54040615;30,77
tt175;tt175;0,378;0,313;0,115;0,2;1,13281609;2,54197496;30,58
tt176;tt176;0,291;1,371;0,558;0,271;1,12969192;2,53495576;30,75
tt177;tt177;0,304;0,146;0,55;1,142;1,11855413;2,50990083;31,09
tt178;tt178;0,449;0,128;0,657;1,618;1,10369112;2,47650495;35,05
tt179;tt179;0,334;0,388;1,263;0,509;1,08037934;2,42416053;27,87
tt180;tt180;0,672;0,338;0,847;0,544;1,06927521;2,3992935;30,96
tt181;tt181;0,299;0,407;0,761;0,795;1,07158436;2,40458086;30,87
tt182;tt182;0,986;1,055;0,269;0,371;1,08311137;2,43052173;30,85
tt183;tt183;0,152;0,223;1,375;0,628;1,09233724;2,45124424;30,96
tt184;tt184;0,301;0,999;0,124;0,363;1,1016259;2,47215903;31,6
tt185;tt185;0,12;0,34;0,336;2,175;1,1063562;2,48288377;31,84
tt186;tt186;1,828;1,331;0,266;2,218;1,11543075;2,5033372;31,46
tt187;tt187;0,554;0,387;0,324;1,304;1,1230665;2,52040547;31
tt188;tt188;0,2;0,64;0,151;0,578;1,12002124;2,51348226;30,83
tt189;tt189;0,156;0,967;0,341;1,212;1,11590624;2,50420822;30,95
tt190;tt190;0,173;0,71;2,97;0,73;1,12306196;2,52030859;30,55
tt191;tt191;0,126;0,128;0,242;0,432;1,12835052;2,53220785;29,89
tt192;tt192;0,167;0,157;0,27;0,787;1,13632181;2,55010245;29,56
tt193;tt193;0,26;0,303;0,28;0,194;1,13749208;2,55201898;29,11
tt194;tt194;0,162;0,187;0,035;0,243;1,14327202;2,56502744;28,99
tt195;tt195;0,197;0,178;0,13;0,175;1,15177174;2,58417465;29,16
tt196;tt196;0,184;0,296;0,007;0,091;1,16050029;2,60380817;29,71
tt197;tt197;0,225;0,214;0,084;0,267;1,17247465;2,63064207;30,41
tt198;tt198;0,085;0,989;0,324;0,203;1,17260944;2,63102524;30,77
tt199;tt199;0,992;0,223;0,145;0,907;1,16311407;2,60971771;31,66
tt200;tt200;0,171;0,334;0,317;0,248;1,16511674;2,61424654;32,03
tt201;tt201;0,365;0,344;0,511;1,131;1,15376605;2,58875884;31,83
tt202;tt202;0,165;0,203;0,266;1,048;1,13763054;2,55256807;31,58
tt203;tt203;0,222;0,287;0,153;2,108;1,11400549;2,49956006;31,35
tt204;tt204;0,373;0,462;0,432;0,261;1,0936329;2,45398421;31,1
tt205;tt205;0,126;1,798;1,81;0,277;1,09389348;2,45474168;30,99
tt206;tt206;0,071;0,235;0,352;0,289;1,08511944;2,43502292;30,95
tt207;tt207;0,321;0,419;0,755;0,104;1,06955108;2,40001694;30,99
tt208;tt208;1,221;1,74;1,313;0,61;1,05801247;2,37392954;31,02
tt209;tt209;2,252;0,608;0,449;0,533;1,05436086;2,36565635;30,97
tt210;tt210;1,217;0,323;0,776;0,261;1,05221331;2,36096131;30,9
tt211;tt211;0,37;1,088;0,157;1,541;1,05610697;2,36971633;30,79
tt212;tt212;0,342;0,743;0,614;1,585;1,05751942;2,37290576;30,5
tt213;tt213;0,304;0,778;0,282;2,975;1,05469282;2,36658014;30,07
tt214;tt214;0,584;2,063;0,986;0,096;1,06476382;2,38921136;29,57
tt215;tt215;0,18;0,183;0,043;0,449;1,08491625;2,4344288;28,83
tt216;tt216;0,74;0,254;2,662;0,17;1,10039069;2,46926342;26,16
tt217;tt217;0,12;0,195;0,163;0,261;1,0983814;2,46476533;25,57
tt218;tt218;0,552;0,263;0,199;0,236;1,10405034;2,47747915;25,49
tt219;tt219;0,369;0,341;0,216;0,239;1,11065304;2,49227812;25,57
tt220;tt220;1,515;0,16;0,049;0,139;1,11022944;2,49130217;27,77
tt221;tt221;0,255;0,295;0,175;0,741;1,11554703;2,50322105;28,93
tt222;tt222;0,333;0,711;0,392;0,589;1,12464053;2,52361859;29,79
tt223;tt223;0,638;0,272;0,3;0,399;1,12855915;2,53243549;31
tt224;tt224;0,098;0,83;0,928;0,256;1,12322303;2,52050918;31,31
tt225;tt225;0,088;0,24;0,278;0,388;1,11903576;2,51112211;31,22
tt226;tt226;0,163;1,208;0,627;0,488;1,09103836;2,44819078;31,14
tt227;tt227;0,27;2,91;1,419;0,599;1,07315671;2,40791136;31,06
tt228;tt228;0,16;0,158;0,197;0,457;1,06093309;2,38048247;30,99
tt229;tt229;0,048;0,88;0,263;0,264;1,05228465;2,36104633;31
tt230;tt230;1,414;0,197;0,287;1,428;1,05061608;2,35725208;31,01
tt231;tt231;0,68;1,076;0,162;0,379;1,07329026;2,40828041;31,03
tt232;tt232;0,109;0,25;0,798;0,826;1,08813861;2,44162064;31,19
tt233;tt233;0,202;1,17;1,862;1,128;1,09240928;2,45098403;31,19
tt234;tt234;0,256;0,968;1,709;1,285;1,10085993;2,46963243;31,02
tt235;tt235;0,544;2,847;1,674;1,276;1,11212856;2,49496401;30,54
tt236;tt236;1,015;0,703;1,562;1,386;1,1184868;2,50928718;29,81
tt237;tt237;0,343;0,729;1,343;0,397;1,11791001;2,50807509;29,55
tt238;tt238;0,434;0,886;0,258;0,294;1,12169253;2,51675139;29,15
tt239;tt239;0,425;0,63;0,181;0,256;1,13991788;2,55787838;28,08
tt240;tt240;0,203;0,39;0,31;0,361;1,13513822;2,54722125;24,38
tt241;tt241;0,18;0,395;0,093;0,123;1,13243486;2,54670829;22,78
tt242;tt242;0,235;0,143;0,086;0,194;1,12821542;2,53720826;22,05
tt243;tt243;0,168;0,947;0,847;0,183;1,12648319;2,53331283;22,1
tt244;tt244;0,082;0,129;0,044;0,284;1,15149864;2,58958184;23,6
tt245;tt245;0,061;0,335;0,035;0,321;1,15477623;2,59694696;24,35
tt246;tt246;0,415;0,726;0,087;0,511;1,15255562;2,59196109;27,82
tt247;tt247;0,306;0,475;0,172;0,728;1,14812612;2,58202729;28,96
tt248;tt248;1,022;0,424;0,212;0,29;1,14074172;2,56543548;29,14
tt249;tt249;0,636;0,238;0,469;0,554;1,1404102;2,56470113;29,12
tt250;tt250;0,271;1,292;0,142;0,244;1,14164571;2,56748943;29,15
tt251;tt251;0,122;0,253;0,566;1,045;1,13213539;2,54611115;29,16
