set_tt;set_tt_o;el3A80;el3A180;el1A80;el1A180;thA80;thA180;SpotPriceEUR
tt1391;tt1391;0,664;0,919;0,232;0,508;1,30043083;2,92006888;7,95
tt1392;tt1392;0,123;0,103;0,109;0,401;1,30336618;2,92654945;7,81
tt1393;tt1393;0,659;0,172;0,079;0,342;1,29961203;2,91817608;7,89
tt1394;tt1394;0,053;0,385;0,18;0,75;1,2916186;2,9001231;7,86
tt1395;tt1395;0,124;0,251;0,069;0,268;1,2866588;2,88889452;8,56
tt1396;tt1396;0,072;0,315;0,096;0,19;1,2898178;2,89599307;9,79
tt1397;tt1397;0,39;0,614;0,105;0,31;1,28867123;2,89341789;10,34
tt1398;tt1398;0,252;0,828;0,138;0,867;1,30044414;2,91985633;28,99
tt1399;tt1399;0,579;1,299;0,241;1,154;1,30322441;2,9260797;30,96
tt1400;tt1400;0,137;0,059;0,069;0,256;1,28609844;2,88753248;31,23
tt1401;tt1401;0,129;0,229;0,113;1,103;1,25809142;2,82444766;31,02
tt1402;tt1402;0,18;0,986;0,291;0,53;1,21481453;2,72707925;30,76
tt1403;tt1403;0,444;0,138;0,043;0,73;1,16223207;2,60892058;30,57
tt1404;tt1404;0,272;0,203;0,378;0,232;1,10970474;2,4907985;30,62
tt1405;tt1405;0,326;0,296;0,599;0,492;1,06488804;2,38997012;30,72
tt1406;tt1406;0,074;0,462;0,356;0,977;1,0211411;2,29151651;30,73
tt1407;tt1407;0,099;0,426;0,042;0,974;1,01142645;2,26965854;30,85
tt1408;tt1408;0,415;1,386;0,263;0,505;1,02376503;2,29737434;31,12
tt1409;tt1409;1,118;1,912;1,897;0,457;1,06168065;2,38263387;32,48
tt1410;tt1410;3,393;0,819;0,13;0,885;1,09577617;2,45928435;32,72
tt1411;tt1411;1,616;1,052;1,454;0,514;1,13485259;2,54720631;32,16
tt1412;tt1412;0,434;0,839;0,437;0,274;1,18735723;2,66536935;31,14
tt1413;tt1413;0,235;0,461;0,169;1,996;1,20547326;2,70615344;30,86
tt1414;tt1414;0,233;0,423;0,118;0,873;1,22445794;2,74893339;30,39
tt1415;tt1415;0,699;0,108;0,227;1,81;1,22743462;2,75566311;29,44
tt1416;tt1416;0,165;0,24;0,325;0,2;1,22573323;2,75183959;16,69
tt1417;tt1417;0,098;0,175;0,315;0,379;1,21927553;2,73735415;27,2
tt1418;tt1418;0,178;0,57;0,162;0,125;1,2209289;2,74101257;26,38
tt1419;tt1419;0,245;0,081;0,815;0,282;1,22457384;2,74921139;25,52
tt1420;tt1420;0,114;0,193;0,171;0,2;1,22853161;2,7580707;28,65
tt1421;tt1421;0,646;0,272;0,315;0,703;1,23504157;2,77269983;29,98
tt1422;tt1422;0,492;0,448;0,265;2,046;1,24022666;2,78443481;30,89
tt1423;tt1423;0,115;0,815;0,006;0,365;1,24254716;2,78960111;32,04
tt1424;tt1424;0,151;2,43;0,398;0,212;1,23892113;2,78141972;32,74
tt1425;tt1425;1,733;0,442;0,146;0,381;1,2262442;2,75289206;32,71
tt1426;tt1426;0,13;0,226;0,166;0,043;1,20448189;2,7040913;32,4
tt1427;tt1427;0,1;0,135;0,156;0,303;1,17400933;2,6356605;32,2
tt1428;tt1428;0,16;0,156;1,19;0,486;1,14841704;2,57831539;31,22
tt1429;tt1429;0,27;0,239;0,192;0,193;1,10704031;2,48511725;30,74
tt1430;tt1430;0,378;0,246;0,21;1,399;1,06984145;2,401365;30,83
tt1431;tt1431;0,092;0,643;0,182;0,519;1,0467695;2,34946225;31,5
tt1432;tt1432;0,06;0,177;0,205;0,178;1,04701072;2,35005066;32,03
tt1433;tt1433;0,505;1,105;0,339;0,428;1,05828598;2,37520074;32,48
tt1434;tt1434;1,119;0,564;1,122;1,175;1,09756243;2,46333523;33,78
tt1435;tt1435;1,064;0,626;0,216;0,547;1,1207526;2,51540804;32,4
tt1436;tt1436;0,915;1,165;2,112;0,61;1,12175065;2,51750748;32,13
tt1437;tt1437;0,556;0,741;0,407;0,236;1,15031656;2,58163462;31,68
tt1438;tt1438;0,501;0,377;0,111;1,292;1,17140141;2,62897046;31,61
tt1439;tt1439;0,215;0,635;0,257;0,168;1,19722506;2,68700973;29,7
tt1440;tt1440;0,064;0,295;0,262;0,715;1,19917145;2,69164034;29,73
tt1441;tt1441;0,405;0,174;0,295;0,559;1,21092849;2,71825675;29,49
tt1442;tt1442;0,856;0,07;0,16;0,272;1,20856639;2,71274467;26,33
tt1443;tt1443;0,213;0,482;0,235;0,137;1,23156916;2,76430926;26,55
tt1444;tt1444;0,226;0,132;0,161;0,958;1,23723856;2,77701978;28,28
tt1445;tt1445;0,2;0,223;0,262;0,184;1,23721904;2,77714013;29,63
tt1446;tt1446;0,283;0,523;0,225;0,219;1,23266216;2,76709705;31,04
tt1447;tt1447;1,239;0,522;0,193;0,21;1,22507451;2,75013436;33,57
tt1448;tt1448;0,401;0,365;0,304;0,541;1,20784849;2,71155376;34,19
tt1449;tt1449;0,079;0,33;0,293;0,784;1,18410258;2,65829431;32,66
tt1450;tt1450;0,752;1,766;0,157;0,179;1,13952747;2,55811895;32,41
tt1451;tt1451;0,375;0,676;0,671;0,309;1,11067101;2,49326948;32,24
tt1452;tt1452;0,19;2,847;0,597;0,417;1,09294569;2,45346051;32,04
tt1453;tt1453;0,56;0,104;0,199;0,296;1,08379266;2,43291183;31,7
tt1454;tt1454;0,085;0,256;1,694;0,339;1,07054076;2,40313614;31,18
tt1455;tt1455;0,181;0,146;1,056;1,281;1,05350037;2,36479069;31,07
tt1456;tt1456;0,845;0,317;0,733;1,36;1,05559845;2,36944292;27,72
tt1457;tt1457;0,75;0,705;1,257;0,28;1,0825178;2,42996127;32,17
tt1458;tt1458;0,685;1,3;0,835;2,374;1,12494951;2,52540068;35,8
tt1459;tt1459;0,661;0,368;0,189;2,455;1,14877783;2,5790144;32,02
tt1460;tt1460;0,897;0,37;1,079;0,284;1,17176757;2,63072762;31,18
tt1461;tt1461;0,639;0,619;0,477;0,954;1,19345308;2,67952913;30,47
tt1462;tt1462;0,156;1,501;0,111;0,248;1,21245294;2,72228339;29,25
tt1463;tt1463;0,516;0,076;0,281;0,23;1,23310487;2,76875936;25,07
tt1464;tt1464;0,369;0,257;0,083;0,091;1,24552152;2,79657362;27,02
tt1465;tt1465;0,133;0,338;0,186;1,088;1,24989814;2,80624022;26,47
tt1466;tt1466;0,13;0,094;0,041;0,254;1,26041379;2,82985047;26,03
tt1467;tt1467;0,137;0,422;1,073;0,682;1,26007464;2,82920195;28,13
tt1468;tt1468;0,178;0,758;0,495;0,918;1,26864628;2,84860726;29,92
tt1469;tt1469;0,162;0,239;0,085;0,151;1,28033048;2,87493796;30,79
tt1470;tt1470;0,212;0,975;0,292;0,111;1,28168887;2,87810431;31,72
tt1471;tt1471;0,128;0,369;0,319;0,138;1,27480818;2,86275106;32,33
tt1472;tt1472;0,187;0,814;0,11;0,558;1,24318372;2,79165101;32,55
tt1473;tt1473;0,899;0,991;0,063;0,4;1,18992404;2,67189464;32,42
tt1474;tt1474;0,137;0,085;0,257;1,3;1,14462418;2,57002952;32,19
tt1475;tt1475;1,02;1,231;0,228;0,446;1,1209176;2,51675386;31,96
tt1476;tt1476;1,22;0,43;1,155;0,266;1,10894034;2,48988292;31,8
tt1477;tt1477;1,271;0,38;0,113;2,285;1,09752294;2,46427626;31,58
tt1478;tt1478;2,351;0,371;0,456;0,314;1,08342909;2,43265675;31,5
tt1479;tt1479;0,178;0,096;0,382;2,2;1,08759917;2,44211732;30,81
tt1480;tt1480;0,966;0,686;0,756;0,274;1,08047128;2,42615288;17,88
tt1481;tt1481;1,18;3,453;0,064;0,07;1,11102305;2,49492185;38,85
tt1482;tt1482;0,661;0,859;0,613;1,547;1,14588005;2,57334552;42,18
tt1483;tt1483;1,857;1,547;1,703;0,077;1,17196556;2,6320425;32,83
tt1484;tt1484;1,124;0,803;0,272;0,445;1,18958051;2,67144702;31,98
tt1485;tt1485;0,24;0,231;1,047;1,008;1,22942717;2,76042384;31,73
tt1486;tt1486;1,777;0,367;0,036;0,4;1,25172855;2,8106157;31,33
tt1487;tt1487;0,022;0,078;0,096;0,916;1,25837426;2,82560062;30,87
tt1488;tt1488;0,152;0,276;0,092;3,404;1,26190581;2,83342747;31,6
tt1489;tt1489;0,344;0,217;0,145;0,264;1,28907552;2,894431;30,25
tt1490;tt1490;0,166;0,582;0,073;0,545;1,29056545;2,89771742;30,04
tt1491;tt1491;0,093;0,298;0,088;0,291;1,31154274;2,94495761;28,44
tt1492;tt1492;0,103;0,169;0,096;0,384;1,31640104;2,95587963;28,26
tt1493;tt1493;0,342;0,18;0,067;0,037;1,31410833;2,95056505;29,22
tt1494;tt1494;0,182;0,648;0,086;0,184;1,30616263;2,93274228;28,16
tt1495;tt1495;0,198;0,24;0,147;0,362;1,29449627;2,90676361;29,86
tt1496;tt1496;0,288;0,526;0,661;0,465;1,24359269;2,79234521;30,98
tt1497;tt1497;1,337;0,942;1,122;0,251;1,1917625;2,67593371;31,46
tt1498;tt1498;0,412;0,853;0,422;0,351;1,14680144;2,57489977;31,57
tt1499;tt1499;0,29;0,459;0,435;0,075;1,09931858;2,46819635;31,15
tt1500;tt1500;0,174;0,147;0,129;0,433;1,08693857;2,44044225;30,91
tt1501;tt1501;0,22;1,676;0,785;0,409;1,07736172;2,41905489;30,68
tt1502;tt1502;0,129;0,181;1,497;0,401;1,0577457;2,37501059;30,11
tt1503;tt1503;0,049;0,511;0,727;0,364;1,05020961;2,35798098;27,91
tt1504;tt1504;0,331;0,285;0,326;0,307;1,07379037;2,41096889;28,51
tt1505;tt1505;1,148;0,356;0,196;3,543;1,12978648;2,53688674;31,13
tt1506;tt1506;0,492;0,442;0,469;0,598;1,17641014;2,64172577;31,66
tt1507;tt1507;0,556;1,076;0,162;1,329;1,2086914;2,71417971;29,12
tt1508;tt1508;0,898;1,424;0,119;0,654;1,23848253;2,78106296;28,49
tt1509;tt1509;1,918;0,095;0,402;0,146;1,26697534;2,84508921;22,14
tt1510;tt1510;0,165;0,483;0,521;0,247;1,2786135;2,87110536;23,34
tt1511;tt1511;0,103;0,577;0,001;0,272;1,28802482;2,89223496;10,39
tt1512;tt1512;0,177;0,278;0,136;1,826;1,29413981;2,9059478;21,11
tt1513;tt1513;0,09;0,259;0,224;0,195;1,29596595;2,91020025;15,44
tt1514;tt1514;0,226;0,127;0,134;0,13;1,29376545;2,90529494;11,56
tt1515;tt1515;0,295;0,073;0,047;0,673;1,29179475;2,90086087;10,6
tt1516;tt1516;0,092;0,169;1,115;0,324;1,30543312;2,93159761;6,78
tt1517;tt1517;0,226;0,466;0,105;0,42;1,30462649;2,92983309;3,02
tt1518;tt1518;0,134;0,145;0,123;0,274;1,28917626;2,89512048;9,83
tt1519;tt1519;0,616;0,475;0,22;0,099;1,27708907;2,86795179;9,13
tt1520;tt1520;0,451;0,962;0,098;1,35;1,25773206;2,82443977;9,88
tt1521;tt1521;0,462;0,457;0,218;1,51;1,21121911;2,71988186;11,32
tt1522;tt1522;0,486;1,143;0,746;2,021;1,15937289;2,60335158;9,97
tt1523;tt1523;1,339;0,411;0,661;1,822;1,11345587;2,50015743;10
tt1524;tt1524;0,733;1,976;0,357;0,878;1,08711425;2,44080631;10,8
tt1525;tt1525;0,212;1,294;0,162;0,563;1,07676267;2,41745567;9,96
tt1526;tt1526;0,261;0,191;1,602;0,973;1,06750081;2,39657983;9,4
tt1527;tt1527;0,062;0,565;0,098;2,094;1,06126589;2,38248711;9,96
tt1528;tt1528;0,125;0,268;0,6;0,372;1,07395339;2,41098358;28,24
tt1529;tt1529;0,69;1,44;0,127;0,054;1,10299807;2,47621956;30,03
tt1530;tt1530;2,293;0,322;0,199;2,339;1,14367923;2,56763761;33,69
tt1531;tt1531;1,505;0,897;0,543;0,431;1,18506758;2,66072931;34,29
tt1532;tt1532;0,963;0,1;0,794;2,197;1,21891942;2,73687764;32,45
tt1533;tt1533;0,73;0,855;0,459;0,566;1,23833343;2,78055916;31,8
tt1534;tt1534;0,298;0,624;0,341;0,554;1,25396197;2,81572336;31,3
tt1535;tt1535;0,227;0,79;0,114;0,381;1,26922322;2,84996036;30,66
tt1536;tt1536;0,179;0,126;0,045;0,182;1,2728705;2,85820799;30,4
tt1537;tt1537;0,011;0,27;0,103;0,143;1,28641679;2,88870232;29,04
tt1538;tt1538;0,188;0,119;0,738;0,229;1,29837319;2,91556154;27,99
tt1539;tt1539;0,067;0,404;0,098;0,131;1,31168116;2,94545866;25,35
tt1540;tt1540;0,182;0,185;0,202;0,862;1,3283529;2,98299758;27,3
tt1541;tt1541;0,739;0,241;0,218;0,108;1,33180527;2,99081122;29,07
tt1542;tt1542;0,519;1,949;0,063;0,781;1,33560759;2,99938936;34,87
tt1543;tt1543;0,402;0,428;0,182;0,331;1,32437101;2,9741712;35,87
tt1544;tt1544;0,155;0,206;0,192;0,595;1,25614281;2,82075398;39,4
tt1545;tt1545;0,38;0,103;0,118;0,062;1,18167291;2,65338458;38,04
tt1546;tt1546;0,111;0,375;0,035;0,338;1,11584016;2,50550834;35,43
tt1547;tt1547;1,135;0,366;0,07;0,819;1,08648283;2,43951391;34,13
tt1548;tt1548;0,986;0,102;0,113;0,118;1,04711464;2,35101797;33,84
tt1549;tt1549;0,194;0,281;0,118;1,864;1,02868655;2,30971056;33,39
tt1550;tt1550;0,129;0,118;0,309;0,395;1,02180528;2,29425518;33,27
tt1551;tt1551;0,189;0,385;0,497;0,627;1,0090606;2,26561173;32,92
tt1552;tt1552;0,366;0,553;0,131;1,533;1,06954926;2,4015096;32,81
tt1553;tt1553;1,726;1,13;0,21;2,224;1,1277246;2,5322025;33,82
tt1554;tt1554;1,908;0,98;0,849;0,099;1,17370457;2,63553371;34,09
tt1555;tt1555;0,326;0,675;0,111;0,177;1,20030485;2,69528812;33,79
tt1556;tt1556;1,102;0,784;0,191;0,575;1,22268447;2,74564225;32,76
tt1557;tt1557;1,098;0,75;1,455;0,207;1,23490181;2,77315417;32,38
tt1558;tt1558;0,603;2,098;0,569;0,83;1,24722827;2,80085206;31,79
tt1559;tt1559;0,182;0,349;0,1;0,208;1,27501518;2,86333594;31,16
tt1560;tt1560;0,207;0,286;0,133;0,248;1,26974329;2,8515017;31,07
tt1561;tt1561;0,111;0,188;0,079;1,032;1,27487026;2,86305571;30,01
tt1562;tt1562;0,103;0,199;1,29;0,251;1,30044319;2,92058343;29,99
tt1563;tt1563;0,095;0,131;0,116;0,195;1,3028032;2,92584293;29,64
tt1564;tt1564;0,207;0,065;0,071;0,368;1,31027353;2,94255475;30,6
tt1565;tt1565;0,102;0,235;0,188;0,137;1,32635292;2,97866451;32,98
tt1566;tt1566;0,227;0,559;0,341;0,112;1,32639928;2,97875044;36
tt1567;tt1567;0,066;0,743;0,414;0,287;1,30721577;2,93561052;48,58
tt1568;tt1568;0,418;0,674;0,091;0,192;1,24342413;2,79211145;52,66
tt1569;tt1569;0,109;0,212;0,064;0,281;1,17615697;2,64064096;52,37
tt1570;tt1570;0,102;0,271;0,481;1,265;1,10860662;2,48849196;52,21
tt1571;tt1571;0,562;0,459;0,316;0,391;1,04930298;2,35494397;49,97
tt1572;tt1572;1,101;0,131;0,056;0,034;1,02860094;2,30841948;47,35
tt1573;tt1573;0,125;0,229;0,369;0,442;1,02115709;2,29178102;47,32
tt1574;tt1574;0,477;0,323;0,384;0,374;1,02160425;2,29286061;46,13
tt1575;tt1575;0,786;0,365;0,057;0,515;1,00899995;2,26453308;43,19
tt1576;tt1576;0,691;0,701;0,115;0,364;1,02639385;2,30356375;42,09
tt1577;tt1577;1,222;0,219;0,91;0,865;1,06806386;2,39719268;49,1
tt1578;tt1578;0,797;2,11;0,035;0,343;1,09700069;2,46225924;56,14
tt1579;tt1579;1,643;0,401;0,442;0,671;1,10713184;2,48505432;47,75
tt1580;tt1580;0,724;1,149;0,388;0,892;1,09118232;2,44919085;40,87
tt1581;tt1581;1,029;2,156;0,037;2,14;1,10922759;2,48982485;37,08
tt1582;tt1582;0,143;0,154;0,148;0,253;1,13084059;2,53842657;34,97
tt1583;tt1583;0,612;0,139;0,163;0,351;1,14613656;2,5728333;32,84
tt1584;tt1584;0,304;0,097;0,149;0,138;1,17256571;2,63224379;32,51
tt1585;tt1585;0,131;0,722;0,274;0,126;1,19858127;2,69074563;31,98
tt1586;tt1586;0,217;0,171;0,108;0,139;1,2127363;2,7225835;31,55
tt1587;tt1587;0,165;0,732;0,82;0,252;1,2253651;2,75101205;31,38
tt1588;tt1588;0,053;0,161;0,144;0,13;1,22814632;2,75736154;31,2
tt1589;tt1589;0,074;0,321;0,144;0,135;1,24010001;2,78435826;32,06
tt1590;tt1590;0,334;0,439;0,088;0,191;1,25439057;2,81658541;35
tt1591;tt1591;1,037;1,016;0,138;0,404;1,23874191;2,78150436;41,57
tt1592;tt1592;0,206;1,392;0,058;0,245;1,19181436;2,67603663;44,53
tt1593;tt1593;0,079;0,369;0,062;0,249;1,1388358;2,55697249;40,33
tt1594;tt1594;0,155;0,49;0,11;0,698;1,08757456;2,44190075;36,15
tt1595;tt1595;0,072;0,298;0,268;0,321;1,05931688;2,37846776;34,18
tt1596;tt1596;1,812;0,774;0,071;0,174;1,02641502;2,3045762;33,34
tt1597;tt1597;0,763;0,554;0,462;0,262;1,00847378;2,26409371;32,84
tt1598;tt1598;0,163;0,607;0,426;0,19;1,00910901;2,26558261;32,8
tt1599;tt1599;0,145;0,16;0,319;0,149;1,01202519;2,27229081;32,62
tt1600;tt1600;0,591;0,754;0,774;1,817;1,03163237;2,31629228;32,54
tt1601;tt1601;1,732;0,893;0,161;1,759;1,08149305;2,42791001;32,94
tt1602;tt1602;0,445;0,541;0,808;3,463;1,12902758;2,53480767;33,72
tt1603;tt1603;0,812;1,31;1,093;1,366;1,15605166;2,59583662;33,24
tt1604;tt1604;0,192;0,973;0,491;0,483;1,17705724;2,64306248;32,67
tt1605;tt1605;0,318;0,31;0,37;0,334;1,20365117;2,70290341;31,85
tt1606;tt1606;0,285;0,98;0,514;1,058;1,21456227;2,72732035;31,37
tt1607;tt1607;0,185;0,384;0,17;0,324;1,19841433;2,69079024;28,97
tt1608;tt1608;0,227;0,051;0,219;0,276;1,21009274;2,71687402;30,16
tt1609;tt1609;0,362;0,173;0,203;0,823;1,21225161;2,72160058;30,05
tt1610;tt1610;0,486;0,197;0,5;0,335;1,22457325;2,74942775;29,78
tt1611;tt1611;0,192;0,497;0,137;0,178;1,23177371;2,76566081;29,3
tt1612;tt1612;0,15;0,073;0,036;0,42;1,22597586;2,75263851;29,28
tt1613;tt1613;0,306;0,193;0,084;0,287;1,23211471;2,7663686;31,12
tt1614;tt1614;0,462;0,55;0,258;0,625;1,24110551;2,78654762;32,98
tt1615;tt1615;0,267;0,631;0,19;0,363;1,23605981;2,77522679;34,21
tt1616;tt1616;0,445;0,456;0,335;0,381;1,19496667;2,68311017;35,96
tt1617;tt1617;0,13;0,467;0,092;1,096;1,15128467;2,58500859;34,58
tt1618;tt1618;0,185;1,247;0,221;0,683;1,10893194;2,4898887;34,22
tt1619;tt1619;0,224;1,385;0,175;0,373;1,0611889;2,38219251;33,56
tt1620;tt1620;0,464;0,2;0,305;0,647;1,0217254;2,29366027;33,19
tt1621;tt1621;0,66;0,177;0,352;0,214;0,98183792;2,20400946;32,91
tt1622;tt1622;0,415;0,259;0,526;0,37;0,96399328;2,16377672;32,69
tt1623;tt1623;0,933;0,453;2,948;0,304;0,95803701;2,15035224;32,69
tt1624;tt1624;2,381;0,089;2,019;0,389;0,97097514;2,17940816;32,76
tt1625;tt1625;0,579;0,062;0,961;1,596;1,02540224;2,30179141;33,3
tt1626;tt1626;0,111;0,722;0,205;0,642;1,07609056;2,41573954;33,86
tt1627;tt1627;1,808;0,876;1,454;0,794;1,13227322;2,54204076;32,86
tt1628;tt1628;0,421;0,418;0,31;0,411;1,17733054;2,64341517;32,32
tt1629;tt1629;0,787;0,518;0,72;0,794;1,18914736;2,67015391;32,27
tt1630;tt1630;0,202;0,59;0,188;0,339;1,21466934;2,7276378;31,11
tt1631;tt1631;0,442;0,881;0,784;0,28;1,18491283;2,66055762;28,82
tt1632;tt1632;0,236;0,177;0,217;0,147;1,19011339;2,67218573;20,82
tt1633;tt1633;0,149;0,261;0,25;0,376;1,22450771;2,7494052;18,18
tt1634;tt1634;0,234;0,355;0,142;0,732;1,2409479;2,78622177;12,01
tt1635;tt1635;0,101;0,241;0,205;0,342;1,25327531;2,81386221;18,09
tt1636;tt1636;0,059;0,086;0,065;0,38;1,25473959;2,81709726;26,96
tt1637;tt1637;0,163;0,119;0,184;0,123;1,25129981;2,80932112;28,59
tt1638;tt1638;0,517;0,217;0,098;0,504;1,26130053;2,83166694;31,9
tt1639;tt1639;0,713;0,282;0,359;0,235;1,23089205;2,76335783;33,47
tt1640;tt1640;2,665;0,444;0,143;0,103;1,18065305;2,65069581;33,93
tt1641;tt1641;0,057;0,251;0,253;0,277;1,12106473;2,51695202;32,56
tt1642;tt1642;0,3;0,188;0,432;0,745;1,05152771;2,36064037;32,43
tt1643;tt1643;0,121;0,803;0,217;2,34;0,9771009;2,19330834;32,09
tt1644;tt1644;0,19;0,906;1,482;3,213;0,92499184;2,07621417;31,51
tt1645;tt1645;0,237;0,306;1,279;0,408;0,88771941;1,99250701;31,31
tt1646;tt1646;0,355;0,304;0,488;0,739;0,880989;1,97740482;31,26
tt1647;tt1647;0,126;0,167;0,267;0,319;0,89854377;2,01700386;31,59
tt1648;tt1648;0,134;1,494;0,598;0,313;0,95339671;2,14040007;32,09
tt1649;tt1649;0,895;0,63;0,27;0,354;0,99559175;2,23524268;33,16
tt1650;tt1650;0,241;0,852;0,608;0,525;1,06364926;2,38797801;36,63
tt1651;tt1651;0,833;0,404;0,98;0,747;1,10322608;2,47683796;33,33
tt1652;tt1652;0,337;0,715;0,434;0,486;1,11551402;2,50439419;32,46
tt1653;tt1653;0,394;1,148;0,279;0,186;1,13362392;2,54505897;32,34
tt1654;tt1654;0,292;0,496;0,191;1,038;1,16601595;2,61773026;32,21
tt1655;tt1655;0,089;0,137;0,39;0,143;1,18326371;2,65647815;31,92
tt1656;tt1656;0,098;0,972;0,195;0,253;1,2008141;2,6958978;31,16
tt1657;tt1657;0,533;0,891;0,095;0,202;1,2029114;2,70068088;30,49
tt1658;tt1658;0,18;0,529;0,165;0,476;1,22461794;2,74954653;30,13
tt1659;tt1659;0,112;0,55;0,099;0,152;1,24370322;2,79260767;29,64
tt1660;tt1660;0,144;0,256;0,208;0,355;1,27016319;2,85222977;29,07
tt1661;tt1661;0,252;0,192;0,052;0,164;1,28158487;2,87780929;30
tt1662;tt1662;0,13;0,098;1,291;0,343;1,28744238;2,89103914;31,28
tt1663;tt1663;0,428;0,165;0,517;0,237;1,27330044;2,8593161;31,26
tt1664;tt1664;0,419;0,99;0,084;0,066;1,2225432;2,74515359;31,69
tt1665;tt1665;0,144;1,26;2,431;0,793;1,16272226;2,61067575;32,36
tt1666;tt1666;2,682;0,083;0,825;0,61;1,10873991;2,48943564;32,21
tt1667;tt1667;0,129;1,644;0,062;1,138;1,06171418;2,38378829;31,41
tt1668;tt1668;0,785;0,359;0,355;0,449;1,03528353;2,32443859;31,07
tt1669;tt1669;0,943;0,298;2,006;0,197;0,99718918;2,23882722;30,19
tt1670;tt1670;1,058;0,396;0,466;0,101;0,97939169;2,19884708;29,85
tt1671;tt1671;0,389;0,099;0,09;0,312;0,9842512;2,20982686;29,98
tt1672;tt1672;0,488;2,065;1,076;0,708;1,00971249;2,26719732;30,81
tt1673;tt1673;0,071;1,299;0,595;0,97;1,05680896;2,37300384;32,68
tt1674;tt1674;0,314;0,233;1,751;0,23;1,10897338;2,49002058;33,68
tt1675;tt1675;0,734;1,562;0,446;0,719;1,14183241;2,56376991;33,01
tt1676;tt1676;0,562;1,474;0,059;0,445;1,17689901;2,64233491;31,52
tt1677;tt1677;0,435;0,302;1,732;0,51;1,20835116;2,71307013;31,23
tt1678;tt1678;0,461;0,486;1,058;0,448;1,234393;2,771623;31,08
tt1679;tt1679;0,411;0,381;0,219;0,575;1,2605731;2,83055114;30,05
tt1680;tt1680;0,361;0,9;0,128;0,847;1,28744528;2,89092639;27,9
tt1681;tt1681;0,11;0,936;0,128;0,182;1,31645007;2,95605916;25,4
tt1682;tt1682;0,203;0,174;0,045;0,229;1,34863363;3,02833499;26,69
tt1683;tt1683;0,259;0,149;0,017;0,172;1,36985926;3,07605607;26,9
tt1684;tt1684;0,191;0,134;0,078;0,378;1,38327117;3,10604538;26,13
tt1685;tt1685;0,16;0,992;0,21;0,385;1,38878394;3,11842168;28,51
tt1686;tt1686;0,219;0,162;0,064;0,215;1,40013378;3,14410057;28,29
tt1687;tt1687;0,08;0,099;0,115;0,354;1,37220023;3,08125009;28,75
tt1688;tt1688;0,198;0,336;0,107;1,029;1,27000245;2,85143768;29,3
tt1689;tt1689;1,672;0,687;0,087;0,523;1,19525808;2,68328115;29,59
tt1690;tt1690;0,576;0,308;0,203;1,603;1,12446245;2,52402755;29,7
tt1691;tt1691;0,55;0,325;0,261;0,376;1,06449958;2,38937632;29,43
tt1692;tt1692;0,218;0,236;1,376;0,932;1,01416858;2,2765294;29,4
tt1693;tt1693;0,662;0,354;0,032;0,099;0,99456256;2,2328091;28,98
tt1694;tt1694;0,34;0,291;0,096;1,261;0,97794746;2,19561716;28,92
tt1695;tt1695;0,582;0,383;0,311;1,025;0,95651204;2,14747892;28,9
tt1696;tt1696;0,717;0,953;0,332;0,252;0,9612771;2,15821403;29,19
tt1697;tt1697;0,359;0,39;0,628;1,737;0,99881117;2,24236389;29,7
tt1698;tt1698;0,093;1,119;3,284;0,412;1,07882081;2,42175457;31,15
tt1699;tt1699;2,059;0,838;1,182;1,009;1,13378629;2,54500163;31,35
tt1700;tt1700;0,351;1,344;0,378;0,697;1,16914742;2,62435383;30,69
tt1701;tt1701;0,925;0,66;0,307;1,359;1,19955697;2,69267928;30,62
tt1702;tt1702;0,421;0,946;0,383;0,152;1,23878662;2,78085913;30,4
tt1703;tt1703;0,153;1,071;0,254;0,527;1,27780322;2,86857332;29,34
tt1704;tt1704;0,133;0,317;0,344;0,324;1,30865856;2,93791553;27,04
tt1705;tt1705;0,883;1,036;0,098;0,588;1,32296468;2,97010202;26,82
tt1706;tt1706;0,662;0,257;0,562;0,119;1,34080759;3,01020053;26,9
tt1707;tt1707;0,288;0,123;0,22;0,126;1,35057562;3,03214201;27,02
tt1708;tt1708;0,421;0,066;0,4;0,731;1,35878719;3,05060434;27,77
tt1709;tt1709;0,583;0,135;0,165;0,097;1,36782511;3,07094423;29,64
tt1710;tt1710;0,752;0,175;0,364;0,285;1,37692376;3,09146193;33,83
tt1711;tt1711;1,206;0,267;0,215;0,931;1,34535512;3,02051021;40,01
tt1712;tt1712;0,43;0,182;0,143;1,278;1,23681216;2,77638;42,53
tt1713;tt1713;0,306;0,32;0,931;0,328;1,14466999;2,56914243;40
tt1714;tt1714;0,181;0,166;0,068;0,454;1,07452125;2,41144494;34,57
tt1715;tt1715;0,083;0,18;1,345;2,463;1,0184339;2,28540845;32,89
tt1716;tt1716;0,092;0,416;2,044;0,174;0,96182331;2,15825411;31,97
tt1717;tt1717;0,39;0,335;1,777;0,734;0,92742126;2,08102327;32,2
tt1718;tt1718;0,445;0,527;0,245;0,573;0,91219806;2,04694026;31,7
tt1719;tt1719;0,112;0,184;0,125;0,224;0,90429117;2,02930063;31,78
tt1720;tt1720;0,288;0,284;0,263;0,732;0,91373685;2,05049399;35,74
tt1721;tt1721;0,29;0,651;1,258;0,209;0,97703625;2,19265242;40,82
tt1722;tt1722;0,785;0,346;0,629;0,245;1,05488042;2,36750001;48,7
