2017-04-04,08:00:00;tt2241;1,04199916906623;tt2241;2,34032419577212
2017-04-04,09:00:00;tt2242;0,986769288015693;tt2242;2,21635543625261
2017-04-04,10:00:00;tt2243;0,937462900724117;tt2243;2,10564106745218
2017-04-04,11:00:00;tt2244;0,933622243107795;tt2244;2,09699040403564
2017-04-04,12:00:00;tt2245;0,914953915148722;tt2245;2,05525299574254
2017-04-04,13:00:00;tt2246;0,901884723478452;tt2246;2,02615497110845
2017-04-04,14:00:00;tt2247;0,915394274117176;tt2247;2,05670758430254
2017-04-04,15:00:00;tt2248;0,931701669931373;tt2248;2,0931512628293
2017-04-04,16:00:00;tt2249;0,969587626003256;tt2249;2,17818343705515
2017-04-04,17:00:00;tt2250;1,01848066576078;tt2250;2,28800910091316
2017-04-04,18:00:00;tt2251;1,07813584380796;tt2251;2,42214600561101
2017-04-04,19:00:00;tt2252;1,12468420027129;tt2252;2,52683848064431
2017-04-04,20:00:00;tt2253;1,146414688914;tt2253;2,57565860985182
2017-04-04,21:00:00;tt2254;1,1718156457906;tt2254;2,63261790344795
2017-04-04,22:00:00;tt2255;1,19628285379618;tt2255;2,68746248641451
2017-04-04,23:00:00;tt2256;1,22370827856488;tt2256;2,74890802667237
2017-04-05,00:00:00;tt2257;1,23865196546246;tt2257;2,78236594190196
2017-04-05,01:00:00;tt2258;1,2506952638024;tt2258;2,80927968757039
2017-04-05,02:00:00;tt2259;1,25325934277653;tt2259;2,81495243557407
2017-04-05,03:00:00;tt2260;1,26040403187766;tt2260;2,83106012928097
2017-04-05,04:00:00;tt2261;1,26733207357166;tt2261;2,84671710144113
2017-04-05,05:00:00;tt2262;1,24971421234633;tt2262;2,80711364880343
2017-04-05,06:00:00;tt2263;1,18062861901521;tt2263;2,65191902586358
2017-04-05,07:00:00;tt2264;1,11586545567658;tt2264;2,50646364607657
2017-04-05,08:00:00;tt2265;1,0407945111946;tt2265;2,33782494249684
2017-04-05,09:00:00;tt2266;0,982411314963176;tt2266;2,20683928594881
2017-04-05,10:00:00;tt2267;0,931798330408632;tt2267;2,09334578945358
2017-04-05,11:00:00;tt2268;0,90667192410672;tt2268;2,03710525622856
2017-04-05,12:00:00;tt2269;0,886132650409296;tt2269;1,99125556809028
2017-04-05,13:00:00;tt2270;0,887063337919255;tt2270;1,99346349385747
2017-04-05,14:00:00;tt2271;0,898822601114663;tt2271;2,01995397927652
2017-04-05,15:00:00;tt2272;0,904468507514033;tt2272;2,03261134977599
2017-04-05,16:00:00;tt2273;0,93986341394377;tt2273;2,11198355962808
2017-04-05,17:00:00;tt2274;0,992616769935238;tt2274;2,23038932154452
2017-04-05,18:00:00;tt2275;1,04476860764319;tt2275;2,34751972945151
2017-04-05,19:00:00;tt2276;1,08404810871129;tt2276;2,43580676905654
2017-04-05,20:00:00;tt2277;1,10802999824083;tt2277;2,48943081253451
2017-04-05,21:00:00;tt2278;1,12215757738818;tt2278;2,52101582246
2017-04-05,22:00:00;tt2279;1,15430287403693;tt2279;2,59314988054344
2017-04-05,23:00:00;tt2280;1,16902810288506;tt2280;2,62615285538259
2017-04-06,00:00:00;tt2281;1,17821869324473;tt2281;2,64678122596039
2017-04-06,01:00:00;tt2282;1,18692838751566;tt2282;2,66643766993445
2017-04-06,02:00:00;tt2283;1,1842866584906;tt2283;2,66067267522143
2017-04-06,03:00:00;tt2284;1,1897556022786;tt2284;2,67308330127386
2017-04-06,04:00:00;tt2285;1,19745244288172;tt2285;2,69048375982782
2017-04-06,05:00:00;tt2286;1,17940032150101;tt2286;2,64989400912021
2017-04-06,06:00:00;tt2287;1,10261019432287;tt2287;2,47720337723283
2017-04-06,07:00:00;tt2288;0,99804955602408;tt2288;2,24204285652349
2017-04-06,08:00:00;tt2289;0,934141464007496;tt2289;2,09838267441458
2017-04-06,09:00:00;tt2290;0,877320102457525;tt2290;1,97058506865861
2017-04-06,10:00:00;tt2291;0,843486249309412;tt2291;1,89448183440784
2017-04-06,11:00:00;tt2292;0,818251344650304;tt2292;1,83779045318829
2017-04-06,12:00:00;tt2293;0,788282784614408;tt2293;1,77032449657555
2017-04-06,13:00:00;tt2294;0,761343688844908;tt2294;1,70961061563124
2017-04-06,14:00:00;tt2295;0,779101844858323;tt2295;1,74936922280206
2017-04-06,15:00:00;tt2296;0,78780345698193;tt2296;1,76902583021063
2017-04-06,16:00:00;tt2297;0,805625647621669;tt2297;1,80925878407845
2017-04-06,17:00:00;tt2298;0,848826218397542;tt2298;1,90623071499932
2017-04-06,18:00:00;tt2299;0,883340118059757;tt2299;1,98368515831344
2017-04-06,19:00:00;tt2300;0,916611432800523;tt2300;2,05841259155175
2017-04-06,20:00:00;tt2301;0,949619208202783;tt2301;2,1325883448769
2017-04-06,21:00:00;tt2302;0,965801813493552;tt2302;2,16899461971463
2017-04-06,22:00:00;tt2303;0,978752152486973;tt2303;2,19815123071582
2017-04-06,23:00:00;tt2304;0,995283828575749;tt2304;2,235443830312
2017-04-07,00:00:00;tt2305;1,0197171068356;tt2305;2,2903181286707
2017-04-07,01:00:00;tt2306;1,04283882553716;tt2306;2,34206189046467
2017-04-07,02:00:00;tt2307;1,06939877460012;tt2307;2,40181718396641
2017-04-07,03:00:00;tt2308;1,08703301137818;tt2308;2,44152635994643
2017-04-07,04:00:00;tt2309;1,10247139993146;tt2309;2,47626732608122
2017-04-07,05:00:00;tt2310;1,07946751779432;tt2310;2,42451318316256
2017-04-07,06:00:00;tt2311;1,00378607343094;tt2311;2,2543768738221
2017-04-07,07:00:00;tt2312;0,941698734306834;tt2312;2,11470332024241
2017-04-07,08:00:00;tt2313;0,907258722534972;tt2313;2,03726380454474
2017-04-07,09:00:00;tt2314;0,875375336550721;tt2314;1,96544353206178
2017-04-07,10:00:00;tt2315;0,844402035073175;tt2315;1,89584544153552
2017-04-07,11:00:00;tt2316;0,822621215471923;tt2316;1,84701768113921
2017-04-07,12:00:00;tt2317;0,814714337894812;tt2317;1,82945680108625
2017-04-07,13:00:00;tt2318;0,80035613661895;tt2318;1,7974722805093
2017-04-07,14:00:00;tt2319;0,787453935998404;tt2319;1,7686260047095
2017-04-07,15:00:00;tt2320;0,804120524606354;tt2320;1,8061304209673
2017-04-07,16:00:00;tt2321;0,831466804999677;tt2321;1,86756312216415
2017-04-07,17:00:00;tt2322;0,866135788301055;tt2322;1,94541221033529
2017-04-07,18:00:00;tt2323;0,891862393770402;tt2323;2,00315472405409
2017-04-07,19:00:00;tt2324;0,920400806580399;tt2324;2,06712737460123
2017-04-07,20:00:00;tt2325;0,94071054684542;tt2325;2,11268653350021
2017-04-07,21:00:00;tt2326;0,955506076581302;tt2326;2,14587545382791
2017-04-07,22:00:00;tt2327;0,976146075704975;tt2327;2,19236137075528
2017-04-07,23:00:00;tt2328;1,00201329882609;tt2328;2,25052129576858
2017-04-08,00:00:00;tt2329;1,02993890144336;tt2329;2,31329879897852
2017-04-08,01:00:00;tt2330;1,04706744279178;tt2330;2,351810465673
2017-04-08,02:00:00;tt2331;1,06539935473141;tt2331;2,39284604060129
2017-04-08,03:00:00;tt2332;1,08487964976395;tt2332;2,43635068024083
2017-04-08,04:00:00;tt2333;1,0778693230066;tt2333;2,42049938290832
2017-04-08,05:00:00;tt2334;1,07372884469577;tt2334;2,41129351206681
2017-04-08,06:00:00;tt2335;1,064052692636;tt2335;2,3897655400976
