2017-01-01,00:00:00;tt1;0,167;tt1;0,176;tt1;0,1;tt1;0,121
2017-01-01,01:00:00;tt2;0,481;tt2;0,335;tt2;0,064;tt2;0,201
2017-01-01,02:00:00;tt3;0,123;tt3;0,235;tt3;0,563;tt3;1,548
2017-01-01,03:00:00;tt4;0,079;tt4;0,218;tt4;0,451;tt4;0,301
2017-01-01,04:00:00;tt5;0,117;tt5;0,36;tt5;0,014;tt5;0,552
2017-01-01,05:00:00;tt6;0,304;tt6;0,199;tt6;0,086;tt6;0,056
2017-01-01,06:00:00;tt7;0,185;tt7;0,405;tt7;0,651;tt7;0,205
2017-01-01,07:00:00;tt8;1,022;tt8;0,422;tt8;0,907;tt8;0,088
2017-01-01,08:00:00;tt9;0,984;tt9;0,46;tt9;0,191;tt9;0,384
2017-01-01,09:00:00;tt10;0,164;tt10;1,378;tt10;2,096;tt10;0,172
2017-01-01,10:00:00;tt11;2,733;tt11;1,305;tt11;0,397;tt11;0,991
2017-01-01,11:00:00;tt12;0,029;tt12;1,622;tt12;0,233;tt12;1,767
2017-01-01,12:00:00;tt13;0,239;tt13;0,35;tt13;0,365;tt13;1,278
2017-01-01,13:00:00;tt14;0,557;tt14;0,338;tt14;0,92;tt14;0,497
2017-01-01,14:00:00;tt15;0,321;tt15;0,48;tt15;0,693;tt15;0,695
2017-01-01,15:00:00;tt16;0,516;tt16;0,527;tt16;0,412;tt16;0,51
2017-01-01,16:00:00;tt17;2,489;tt17;1,427;tt17;1,518;tt17;0,584
2017-01-01,17:00:00;tt18;1,018;tt18;0,797;tt18;0,484;tt18;1,337
2017-01-01,18:00:00;tt19;0,254;tt19;0,466;tt19;0,649;tt19;1,292
2017-01-01,19:00:00;tt20;0,277;tt20;1,178;tt20;0,189;tt20;2,057
2017-01-01,20:00:00;tt21;0,96;tt21;0,415;tt21;0,324;tt21;0,854
2017-01-01,21:00:00;tt22;0,209;tt22;0,649;tt22;1,149;tt22;0,498
2017-01-01,22:00:00;tt23;0,166;tt23;0,407;tt23;0,267;tt23;0,132
2017-01-01,23:00:00;tt24;0,041;tt24;0,182;tt24;0,105;tt24;0,316
2017-01-02,00:00:00;tt25;0,353;tt25;0,14;tt25;0,368;tt25;0,482
2017-01-02,01:00:00;tt26;0,219;tt26;0,352;tt26;0,19;tt26;0,051
2017-01-02,02:00:00;tt27;0,075;tt27;0,123;tt27;0,2;tt27;0,206
2017-01-02,03:00:00;tt28;0,128;tt28;0,081;tt28;0,033;tt28;0,235
2017-01-02,04:00:00;tt29;0,313;tt29;0,081;tt29;0,184;tt29;0,261
2017-01-02,05:00:00;tt30;0,397;tt30;0,434;tt30;0,417;tt30;0,495
2017-01-02,06:00:00;tt31;0,457;tt31;0,643;tt31;0,454;tt31;0,153
2017-01-02,07:00:00;tt32;0,034;tt32;0,527;tt32;0,112;tt32;1,094
2017-01-02,08:00:00;tt33;0,671;tt33;0,355;tt33;0,17;tt33;0,192
2017-01-02,09:00:00;tt34;0,167;tt34;0,892;tt34;0,405;tt34;0,689
2017-01-02,10:00:00;tt35;0,254;tt35;0,873;tt35;0,06;tt35;0,163
2017-01-02,11:00:00;tt36;0,801;tt36;1,221;tt36;0,162;tt36;2,07
2017-01-02,12:00:00;tt37;0,686;tt37;0,232;tt37;0,202;tt37;0,757
2017-01-02,13:00:00;tt38;0,065;tt38;0,613;tt38;0,202;tt38;0,397
2017-01-02,14:00:00;tt39;0,076;tt39;0,561;tt39;0,693;tt39;0,163
2017-01-02,15:00:00;tt40;0,289;tt40;0,503;tt40;0,339;tt40;0,927
2017-01-02,16:00:00;tt41;1,326;tt41;1,932;tt41;1,178;tt41;2,479
2017-01-02,17:00:00;tt42;0,256;tt42;0,502;tt42;0,004;tt42;1,625
2017-01-02,18:00:00;tt43;1,25;tt43;1,366;tt43;0,489;tt43;0,376
2017-01-02,19:00:00;tt44;1,386;tt44;0,224;tt44;0,306;tt44;0,172
2017-01-02,20:00:00;tt45;2,179;tt45;1,883;tt45;0,838;tt45;0,696
2017-01-02,21:00:00;tt46;0,238;tt46;0,131;tt46;0,988;tt46;1,769
2017-01-02,22:00:00;tt47;1,02;tt47;0,215;tt47;0,174;tt47;0,731
2017-01-02,23:00:00;tt48;0,973;tt48;0,268;tt48;0,173;tt48;0,117
2017-01-03,00:00:00;tt49;1,135;tt49;0,125;tt49;0,164;tt49;1,266
2017-01-03,01:00:00;tt50;0,194;tt50;0,194;tt50;0,116;tt50;0,147
2017-01-03,02:00:00;tt51;0,217;tt51;0,188;tt51;0,064;tt51;0,194
2017-01-03,03:00:00;tt52;0,332;tt52;0,655;tt52;0,12;tt52;0,061
2017-01-03,04:00:00;tt53;0,254;tt53;0,261;tt53;0,131;tt53;0,217
2017-01-03,05:00:00;tt54;0,581;tt54;0,37;tt54;0,127;tt54;0,438
2017-01-03,06:00:00;tt55;0,148;tt55;0,325;tt55;0,225;tt55;1,137
2017-01-03,07:00:00;tt56;0,072;tt56;1,562;tt56;0,178;tt56;0,149
2017-01-03,08:00:00;tt57;0,117;tt57;0,586;tt57;0,46;tt57;0,504
2017-01-03,09:00:00;tt58;0,305;tt58;0,199;tt58;0,199;tt58;0,598
2017-01-03,10:00:00;tt59;0,294;tt59;0,249;tt59;0,324;tt59;0,934
2017-01-03,11:00:00;tt60;0,476;tt60;0,432;tt60;0,217;tt60;1,029
2017-01-03,12:00:00;tt61;1,395;tt61;0,212;tt61;0,214;tt61;1,128
2017-01-03,13:00:00;tt62;1,418;tt62;0,239;tt62;0,339;tt62;0,472
2017-01-03,14:00:00;tt63;0,233;tt63;1,666;tt63;0,589;tt63;1,757
2017-01-03,15:00:00;tt64;1,177;tt64;0,562;tt64;1,828;tt64;0,232
2017-01-03,16:00:00;tt65;0,469;tt65;1,213;tt65;1,209;tt65;0,457
2017-01-03,17:00:00;tt66;0,4;tt66;1,863;tt66;0,521;tt66;0,132
2017-01-03,18:00:00;tt67;0,368;tt67;1,012;tt67;0,315;tt67;0,446
2017-01-03,19:00:00;tt68;0,345;tt68;0,44;tt68;0,581;tt68;1,762
2017-01-03,20:00:00;tt69;0,633;tt69;0,501;tt69;0,323;tt69;0,315
2017-01-03,21:00:00;tt70;0,282;tt70;0,557;tt70;2,486;tt70;0,385
2017-01-03,22:00:00;tt71;0,605;tt71;0,275;tt71;0,208;tt71;1,42
2017-01-03,23:00:00;tt72;0,154;tt72;0,93;tt72;0,109;tt72;0,248
2017-01-04,00:00:00;tt73;0,468;tt73;0,105;tt73;0,176;tt73;0,316
2017-01-04,01:00:00;tt74;0,219;tt74;0,437;tt74;0,56;tt74;0,718
2017-01-04,02:00:00;tt75;0,505;tt75;0,269;tt75;0,144;tt75;0,169
2017-01-04,03:00:00;tt76;0,309;tt76;0,298;tt76;0,079;tt76;0,857
2017-01-04,04:00:00;tt77;0,74;tt77;0,211;tt77;0,222;tt77;0,189
2017-01-04,05:00:00;tt78;0,087;tt78;0,314;tt78;0,125;tt78;0,398
2017-01-04,06:00:00;tt79;0,352;tt79;0,411;tt79;0,158;tt79;0,249
2017-01-04,07:00:00;tt80;0,161;tt80;0,919;tt80;0,118;tt80;0,328
2017-01-04,08:00:00;tt81;0,078;tt81;0,507;tt81;0,594;tt81;1,71
2017-01-04,09:00:00;tt82;0,378;tt82;0,439;tt82;0,732;tt82;0,888
2017-01-04,10:00:00;tt83;0,225;tt83;0,282;tt83;0,185;tt83;0,082
2017-01-04,11:00:00;tt84;0,235;tt84;0,423;tt84;0,057;tt84;0,084
2017-01-04,12:00:00;tt85;0,349;tt85;2,542;tt85;0,479;tt85;0,742
2017-01-04,13:00:00;tt86;0,065;tt86;0,326;tt86;0,912;tt86;0,997
2017-01-04,14:00:00;tt87;0,459;tt87;0,427;tt87;0,185;tt87;0,682
2017-01-04,15:00:00;tt88;0,449;tt88;0,448;tt88;0,745;tt88;0,576
2017-01-04,16:00:00;tt89;2,073;tt89;1,236;tt89;1,328;tt89;2,133
2017-01-04,17:00:00;tt90;0,268;tt90;1,491;tt90;1,17;tt90;0,699
2017-01-04,18:00:00;tt91;0,857;tt91;0,719;tt91;0,338;tt91;3,261
2017-01-04,19:00:00;tt92;0,572;tt92;1,413;tt92;4,448;tt92;1,218
2017-01-04,20:00:00;tt93;1,32;tt93;0,766;tt93;0,265;tt93;0,314
2017-01-04,21:00:00;tt94;0,235;tt94;2,169;tt94;0,064;tt94;0,337
2017-01-04,22:00:00;tt95;0,299;tt95;0,23;tt95;0,623;tt95;0,553
2017-01-04,23:00:00;tt96;0,139;tt96;0,274;tt96;0,47;tt96;0,309
2017-01-05,00:00:00;tt97;0,095;tt97;0,176;tt97;0,067;tt97;0,369
2017-01-05,01:00:00;tt98;0,174;tt98;0,249;tt98;0,044;tt98;1,32
